countries,carrier,2030,2030_std,2035,2035_std,2040,2040_std,2045,2045_std,2050,2050_std
SE,elec,46.70105757718008,6.5586019215648,44.418109704479775,9.486201340566708,46.339808902737154,11.508685230238775,49.93365969498008,15.821864423212268,48.37170019876922,17.301693842163765
SI,elec,69.63795012896534,16.06443594946039,68.1936668182226,20.96779352034155,66.9801242331074,26.438945537814785,72.81618421549312,42.03730756978297,73.41294884490273,49.10585378865394
SK,elec,65.59296208862523,17.911180412568083,65.15702401874591,22.81979938894727,66.20645379722514,30.464289893809504,74.63837502039793,47.95896941603021,75.92512876152693,59.33397591344929
WL,elec,59.158656890676056,22.060004097328253,59.146399395976374,27.716885633388426,64.02588046785742,49.98567442518621,68.86469451365846,56.737593151529296,67.86585409166712,63.11650772994308
AL,H2,71.18059191710739,10.384961912824709,85.26899873504111,4.672418152234401,89.55414338350153,0.4268645747558141,85.75339783186344,0.8799790117953005,81.20020758201338,1.440674344945179
AT,H2,73.77630486025618,35.286469594297415,86.34408187606815,35.76254758210111,88.76728989819283,30.892957208739887,85.56957707720703,7.961346910734697,83.61200367390126,4.74467510973816
BA,H2,72.775426545743,9.72075512458967,85.07087679300629,6.004044607781417,89.50335686952391,4.467930248209004,86.09328784048068,1.5471871625742435,81.559679909702,1.8228989394652768
BG,H2,68.94426003296562,14.253175743582668,81.9808263815938,10.154488372354525,87.3106806176268,7.348965966458672,83.88155159212039,3.6018146817571615,80.14573528041,2.4373055436599853
BX,H2,70.17894268948993,6.796960624006859,83.1985543339936,3.789047825592738,83.45381112566045,4.544838323488546,79.5925005085007,6.9494106323831994,77.15538491098988,5.755635761141728
CH,H2,74.27237937319191,39.5652949165691,87.3806233942909,48.724491028759466,87.97815003370185,28.680575599294222,84.16921837301616,12.783816746140303,81.69405485240249,5.359063207600376
CZ,H2,71.89001403068903,33.12605958389949,84.04557495138882,11.504908220829288,85.43678767149305,4.016189558655658,81.58191675279153,6.032487113497195,80.4390345206545,2.55924048128733
