snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,Electricity,Hydrogen,CO2 emissions,Decentralized heat,Electricity,Centralized heat,Methane,CO2 emissions,Electricity,Decentralized heat,CO2 emissions,Electricity,Electricity,Centralized heat,Methane,CO2 emissions,Electricity,Electricity,Decentralized heat,Decentralized heat
sector,Aviation emissions,Agriculture emissions,Shipping emissions,Industry emissions,Nuclear,Steam Methane Reforming,Methane production emissions,Heat Pump,Biomass CHP,Biomass CHP,Imports,Transport emissions,Offwind,Gas Boiler,Decentral heat production emissions,Solar,Onwind,Gas Boiler,Storage,Power supply emissions,Gas,Hydroelectricity,Resistive heater,Oil Boiler
2023-10-29 21:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578292047689,4.033999552833353,0.6049632790908263,0.1592008629186385,0.9380182446623246,0.2859442053217443,0.8790136682112879,20.609237032459298,0.8560622678840439,1.4701308623761673,8.979284524880828,1.8545816627533311,,1.368999881086431,0.0163883678905567,0.0,1.478448808434945e-05,4.0697656797551086e-05,0.030587788544937676,2.1872867293373587e-06,2.02253016483006e-06
2023-10-30 00:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.0345782964038905,4.0339995527225465,0.6049586318808688,0.1591996399686496,0.9379639576250387,0.2969428770073311,0.9128243996892028,20.9773774671488,0.416178283768832,1.4416686673929549,10.648536642940726,2.198996887553363,,1.084572065764424,0.0176219047607308,0.0,1.5041943106359725e-05,4.14193751563071e-05,0.02996361668355073,2.216033824901348e-06,2.0524113016799877e-06
2023-10-30 03:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578301028418,4.033999552744796,0.6052223305760503,0.1592690343621185,0.937905255128946,0.3411570765773334,1.048742124293284,21.58215890412487,2.06831797425552,1.327141336536105,17.32481604036925,3.5764292984181987,,1.118708617101342,0.0221535601659917,4.267107084989495,1.520984804159813e-05,4.188936006821219e-05,0.029053186334499395,2.2722496860122897e-06,2.1379057243538793e-06
2023-10-30 06:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578305958799,4.033999553174844,0.6059849512253984,0.1594697240066838,0.9378431374696773,0.3450690814180861,1.0607679169518938,22.050934594150213,4.4530944856036605,1.0183595461488395,17.915575914781826,3.6983136474811706,1.308850988498789,0.9999533887489171,0.0225562484765738,4.408758469816359,1.5585558902936214e-05,4.294117832737705e-05,0.02843224718013437,2.2840889718397156e-06,2.129201028908879e-06
2023-10-30 09:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578311232165,4.033999520316565,0.6059935687845939,0.1594719917854194,0.9377495223968452,0.3311476903256507,1.017972529519593,22.614683834951567,3.64073971749228,0.6210894463395162,15.818738330347845,3.265720149394002,5.334625001130277,0.5208214126190506,0.0212387918690041,1.6819945411006485,2.653367976682098e-06,6.779008625654071e-06,0.01556026797888858,2.49567109937763e-06,2.0080640809023654e-06
2023-10-30 12:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.0345783169540255,4.033999520685935,0.605994808091862,0.159472317918911,0.9376698348276576,0.3267186216914095,1.0043572444587772,22.64251992844381,4.23107952200154,0.7501330029194775,15.14995277885632,3.1277394495283284,3.3663902204864113,0.4769348572938482,0.0207919345844613,0.9642569768485796,2.660743756541143e-06,6.79851260508663e-06,0.015551962774165635,2.4860954050578333e-06,1.9965775712713717e-06
2023-10-30 15:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.03457832316934,4.033999554457914,0.6059923491838501,0.1594716708378553,0.9375932319681922,0.3328942090468434,1.0233414574402966,22.205185439794285,4.776912394695221,0.8594491095420571,16.077447683516954,3.3300809580737893,0.3566344982150875,0.4239939276012496,0.0779848079983436,3.281632189764719,0.1736702346563092,0.4862759532543079,0.028261393880303663,2.245606287940243e-06,2.112246473828644e-06
2023-10-30 18:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578329915286,4.0339995375575635,0.6057821843177063,0.1594163642941332,0.9375088844391536,0.3317413610309476,1.0197975172432836,22.378310505045043,2.31115028871766,1.3976674706909666,15.903763627050814,3.306053402613839,,1.0400665694658802,0.1386702884328345,2.1197617277344767,3.12155397606368e-06,8.063989835830777e-06,0.015532905704779786,2.3445317308559216e-06,2.1183709330919245e-06
2023-10-30 21:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578337282926,4.033999533596872,0.6057183741652971,0.1593995721487624,0.9374240972244715,0.2999033484629912,0.9219251082380842,22.308350980961144,0.934361046095152,1.507013280255171,11.096539239576174,2.2987445824948347,,1.7955831937779956,0.0556084256853481,0.0,3.698862350048881e-06,9.686850600398971e-06,0.015405330567868839,2.313971329808038e-06,2.059512966619162e-06
2023-10-31 00:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578345393445,4.033999531605436,0.6057161571884144,0.1593989887337933,0.9373425040744434,0.2833419028895383,0.8710139977715434,22.44090886691424,0.430885565121934,1.507025364542944,9.13219356041044,1.889187184348045,,1.8744330973030623,0.0322394877047275,,3.4847250538269e-06,9.091091232612038e-06,0.01512243750886458,2.3093495206600777e-06,2.015816454421706e-06
